P,sP,T,sT,V,sV
60.1,0.6,300,5,43.05,0.25
63.0,1.2,300,5,42.86,0.05
63.5,0.6,300,5,43.07,0.20
63.1,0.4,300,5,43.10,0.18
61.5,1.0,300,5,43.14,0.12
61.4,1.0,300,5,43.27,0.11
60.3,0.3,300,5,43.30,0.04
55.5,0.1,300,5,43.91,0.09
55.8,0.9,300,5,43.89,0.12
53.1,0.9,300,5,44.16,0.10
52.9,0.3,300,5,44.23,0.05
48.9,0.4,300,5,44.69,0.19
48.3,0.6,300,5,44.61,0.09
47.1,0.7,300,5,44.69,0.10
49.1,0.3,300,5,44.75,0.04
46.2,0.3,300,5,45.09,0.05
47.0,0.6,300,5,44.89,0.06
45.5,0.3,300,5,45.03,0.05
45.8,0.3,300,5,45.08,0.03
44.4,0.1,300,5,45.22,0.03
43.2,0.3,300,5,45.43,0.08
43.5,0.3,300,5,45.38,0.07
41.1,0.6,300,5,45.63,0.06
38.8,0.0,300,5,46.06,0.03
36.1,0.1,300,5,46.31,0.08
33.1,0.1,300,5,46.74,0.10
33.6,0.2,300,5,46.94,0.02
29.6,0.3,300,5,47.53,0.03
21.3,0.2,300,5,49.15,0.06
21.6,0.1,300,5,49.13,0.07
42.5,0.8,300,5,45.18,0.25
54.7,0.1,300,5,43.87,0.05
54.9,0.2,300,5,43.86,0.06
64.5,0.7,300,5,42.97,0.09
63.9,1.3,300,5,43.08,0.17
63.2,1.4,300,5,42.99,0.00
75.1,1.6,300,5,41.90,0.02
75.7,0.5,300,5,41.87,0.01
78.6,0.9,300,5,41.47,0.06
99.5,3.3,300,5,39.55,0.04
105.8,2.4,300,5,39.00,0.03
105.8,2.4,300,5,39.03,0.02
108.5,2.5,300,5,38.94,0.02
108.9,2.7,300,5,38.86,0.01
112.6,2.3,300,5,38.54,0.01
114.4,3.5,300,5,38.30,0.06
120.2,2.6,300,5,38.10,0.00
126.6,3.4,300,5,37.67,0.00
134.0,2.2,300,5,37.27,0.06
136.4,3.4,300,5,37.16,0.25
36.6,0.1,300,5,46.34,0.08
37.8,0.3,300,5,46.01,0.06
39.2,0.2,300,5,45.77,0.17
41.5,0.2,300,5,45.24,0.08
52.0,2.2,300,5,44.05,0.11
61.8,0.8,300,5,42.98,0.15
69.4,1.4,300,5,42.05,0.16
73.8,0.8,300,5,41.69,0.14
74.4,1.6,300,5,41.62,0.05
74.8,0.6,300,5,41.59,0.04
74.9,1.5,300,5,41.54,0.05
76.4,0.6,300,5,41.64,0.04
80.1,0.6,300,5,41.11,0.06
82.1,0.7,300,5,40.92,0.04
85.3,0.8,300,5,40.61,0.07
92.0,1.5,300,5,39.95,0.07
93.8,1.2,300,5,39.91,0.07
97.5,1.0,300,5,39.69,0.21
99.1,1.0,300,5,39.42,0.17
102.6,0.6,300,5,39.43,0.03
104.7,0.9,300,5,39.29,0.01
106.7,1.4,300,5,39.14,0.05
107.6,1.1,300,5,39.00,0.10
112.4,0.5,300,5,38.58,0.02
114.0,0.8,300,5,38.55,0.09
115.2,4.4,300,5,38.32,0.04
120.6,0.9,300,5,38.12,0.08
125.9,0.2,300,5,37.65,0.10
146.4,0.5,300,5,36.43,0.07
144.2,2.8,300,5,36.45,0.13
,,,,,
